date,1. open,2. high,3. low,4. close,5. volume
2021-05-13 07:19:00,239.3986,239.4485,239.3487,239.3487,2877.0
2021-05-13 07:18:00,239.2489,239.3088,239.2489,239.2888,4315.0
2021-05-13 07:17:00,238.9097,238.9596,238.9097,238.9596,816.0
2021-05-13 07:16:00,238.77,238.9396,238.7102,238.7201,2166.0
2021-05-13 07:15:00,238.7201,238.7301,238.7201,238.7301,1075.0
2021-05-13 07:14:00,238.8498,238.9596,238.6503,238.9596,5577.0
2021-05-13 07:13:00,238.7501,238.7501,238.7002,238.7002,1081.0
2021-05-13 07:11:00,238.7102,238.7501,238.7002,238.7501,3487.0
2021-05-13 07:10:00,238.6503,238.6503,238.6503,238.6503,529.0
2021-05-13 07:09:00,238.6902,238.7501,238.6902,238.7401,2441.0
2021-05-13 07:08:00,238.77,238.77,238.4508,238.4508,3000.0
2021-05-13 07:07:00,238.4408,238.7501,238.4408,238.7501,4909.0
2021-05-13 07:06:00,238.4408,238.4408,238.4408,238.4408,501.0
2021-05-13 07:05:00,238.351,238.351,238.351,238.351,251.0
2021-05-13 07:02:00,238.341,238.4408,238.2612,238.2612,3223.0
2021-05-13 07:01:00,238.1814,238.1814,238.1814,238.1814,293.0
2021-05-13 06:59:00,238.341,238.341,238.341,238.341,216.0
2021-05-13 06:58:00,238.1614,238.1614,238.1614,238.1614,134.0
2021-05-13 06:54:00,238.331,238.331,238.331,238.331,528.0
2021-05-13 06:44:00,238.3111,238.351,238.3111,238.341,1173.0
2021-05-13 06:40:00,238.1115,238.1315,238.1115,238.1315,993.0
2021-05-13 06:24:00,237.912,237.912,237.912,237.912,247.0
2021-05-13 06:23:00,237.9519,237.9519,237.9519,237.9519,590.0
2021-05-13 06:17:00,237.9519,237.9519,237.9519,237.9519,661.0
2021-05-13 06:10:00,237.892,237.9918,237.8122,237.9918,1131.0
2021-05-13 06:09:00,237.6326,237.6326,237.6326,237.6326,143.0
2021-05-13 06:08:00,237.6725,237.6725,237.6725,237.6725,200.0
2021-05-13 06:05:00,237.8521,237.8521,237.8022,237.8022,1300.0
2021-05-13 05:58:00,238.2013,238.2013,238.2013,238.2013,255.0
2021-05-13 05:57:00,238.2013,238.2013,238.2013,238.2013,319.0
2021-05-13 05:54:00,238.1514,238.341,238.1514,238.341,1148.0
2021-05-13 05:53:00,238.1514,238.1514,238.1514,238.1514,310.0
2021-05-13 05:50:00,238.1514,238.1514,238.1514,238.1514,115.0
2021-05-13 05:47:00,238.1514,238.1514,238.1514,238.1514,234.0
2021-05-13 05:45:00,238.1514,238.1514,238.1514,238.1514,158.0
2021-05-13 05:34:00,238.2512,238.2512,238.2512,238.2512,174.0
2021-05-13 05:29:00,238.0317,238.0317,238.0317,238.0317,817.0
2021-05-13 05:26:00,238.0018,238.0018,238.0018,238.0018,816.0
2021-05-13 05:24:00,238.0018,238.0018,238.0018,238.0018,384.0
2021-05-13 05:19:00,237.6526,237.6526,237.6526,237.6526,365.0
2021-05-13 05:16:00,237.6526,237.6526,237.6526,237.6526,200.0
2021-05-13 04:57:00,237.6526,237.6526,237.6526,237.6526,1796.0
2021-05-13 04:56:00,237.5428,237.5428,237.4531,237.4531,878.0
2021-05-13 04:53:00,237.5428,237.5428,237.5129,237.5129,2489.0
2021-05-13 04:51:00,237.5329,237.5329,237.5329,237.5329,132.0
2021-05-13 04:50:00,237.5329,237.5329,237.5329,237.5329,329.0
2021-05-13 04:49:00,237.8422,237.8422,237.6526,237.6526,633.0
2021-05-13 04:35:00,238.4508,238.4508,238.4508,238.4508,777.0
2021-05-13 04:34:00,238.2512,238.2512,238.2512,238.2512,377.0
2021-05-13 04:30:00,238.2013,238.3011,238.2013,238.2013,2347.0
2021-05-13 04:26:00,238.331,238.331,238.331,238.331,231.0
2021-05-13 04:25:00,238.2811,238.2811,238.2811,238.2811,220.0
2021-05-13 04:19:00,237.8521,237.8521,237.8521,237.8521,596.0
2021-05-13 04:17:00,238.1714,238.1714,238.1714,238.1714,463.0
2021-05-13 04:15:00,237.7524,237.7524,237.7324,237.7324,535.0
2021-05-13 04:14:00,237.892,237.892,237.892,237.892,331.0
2021-05-13 04:12:00,237.9519,237.9519,237.9519,237.9519,933.0
2021-05-13 04:04:00,237.7524,237.9519,237.7524,237.9519,622.0
2021-05-13 04:03:00,237.6526,237.6526,237.6526,237.6526,313.0
2021-05-13 04:01:00,237.9719,238.2512,237.9719,238.2512,883.0
2021-05-12 20:00:00,238.9696,238.9995,238.9496,238.9496,2426.0
2021-05-12 19:59:00,238.8498,238.8997,238.8498,238.8997,1069.0
2021-05-12 19:57:00,238.8498,238.8498,238.8498,238.8498,964.0
2021-05-12 19:56:00,238.8498,238.8498,238.7501,238.8498,1280.0
2021-05-12 19:55:00,238.8498,238.8498,238.77,238.8498,1766.0
2021-05-12 19:54:00,238.8498,238.8498,238.7002,238.76,798.0
2021-05-12 19:53:00,238.8498,238.8498,238.8399,238.8498,1142.0
2021-05-12 19:52:00,238.8,238.8399,238.5705,238.8399,721.0
2021-05-12 19:51:00,238.77,238.8,238.77,238.8,646.0
2021-05-12 19:49:00,238.5007,238.5007,238.5007,238.5007,185.0
2021-05-12 19:48:00,238.7301,238.8199,238.7301,238.8199,498.0
2021-05-12 19:46:00,238.7501,238.7501,238.5605,238.5605,903.0
2021-05-12 19:44:00,238.8099,238.8099,238.8099,238.8099,170.0
2021-05-12 19:43:00,238.7102,238.7102,238.7102,238.7102,267.0
2021-05-12 19:41:00,238.8298,238.8298,238.8099,238.8099,634.0
2021-05-12 19:40:00,238.8099,238.8099,238.8099,238.8099,401.0
2021-05-12 19:39:00,238.8299,238.8299,238.8299,238.8299,191.0
2021-05-12 19:38:00,238.8299,238.8299,238.8299,238.8299,343.0
2021-05-12 19:37:00,238.7501,238.7501,238.7501,238.7501,161.0
2021-05-12 19:36:00,238.7301,238.7501,238.7301,238.7501,1106.0
2021-05-12 19:35:00,238.7301,238.7301,238.7301,238.7301,152.0
2021-05-12 19:32:00,238.76,238.76,238.4508,238.5805,4985.0
2021-05-12 19:30:00,238.77,238.77,238.77,238.77,155.0
2021-05-12 19:27:00,238.8498,238.8498,238.8498,238.8498,221.0
2021-05-12 19:26:00,238.8,238.8,238.8,238.8,201.0
2021-05-12 19:25:00,238.8099,238.8099,238.8099,238.8099,201.0
2021-05-12 19:20:00,238.76,238.76,238.76,238.76,1101.0
2021-05-12 19:19:00,238.8299,238.8299,238.8299,238.8299,1541.0
2021-05-12 19:17:00,238.8299,238.8299,238.8299,238.8299,104.0
2021-05-12 19:16:00,238.7501,238.7501,238.7501,238.7501,195.0
2021-05-12 19:15:00,238.8,238.8,238.8,238.8,608.0
2021-05-12 19:14:00,238.7501,238.8,238.7501,238.7501,1731.0
2021-05-12 19:09:00,238.7401,238.7401,238.7401,238.7401,462.0
2021-05-12 19:08:00,238.6104,238.7301,238.6104,238.7301,750.0
2021-05-12 19:06:00,238.7401,238.7401,238.7401,238.7401,463.0
2021-05-12 19:05:00,238.7301,238.7301,238.7301,238.7301,470.0
2021-05-12 19:04:00,238.6303,238.6303,238.6104,238.6303,1654.0
2021-05-12 18:57:00,238.5106,238.5106,238.5006,238.5006,1251.0
2021-05-12 18:56:00,238.5006,238.5006,238.5006,238.5006,470.0
2021-05-12 18:55:00,238.5505,238.5505,238.5505,238.5505,763.0
2021-05-12 18:50:00,238.7401,238.7401,238.6503,238.6503,1565.0
2021-05-12 18:49:00,238.6303,238.6403,238.6303,238.6403,401.0
2021-05-12 18:48:00,238.7401,238.7401,238.7401,238.7401,406.0
2021-05-12 18:47:00,238.7401,238.7401,238.7401,238.7401,461.0
2021-05-12 18:46:00,238.7401,238.7401,238.7401,238.7401,1017.0
2021-05-12 18:45:00,238.7501,238.8498,238.7401,238.7401,1699.0
2021-05-12 18:44:00,238.8399,238.8498,238.79,238.79,444.0
2021-05-12 18:42:00,238.8399,238.8399,238.8399,238.8399,521.0
2021-05-12 18:41:00,238.8199,238.8399,238.8199,238.8399,480.0
2021-05-12 18:38:00,238.7002,238.7201,238.7002,238.7201,445.0
2021-05-12 18:36:00,238.5505,238.5505,238.5006,238.5006,930.0
2021-05-12 18:32:00,238.5505,238.5505,238.5505,238.5505,267.0
2021-05-12 18:28:00,238.5006,238.5006,238.5006,238.5006,202.0
2021-05-12 18:25:00,238.4508,238.6902,238.4508,238.6902,1249.0
2021-05-12 18:24:00,238.4707,238.4707,238.4707,238.4707,199.0
2021-05-12 18:21:00,238.5505,238.73,238.5505,238.73,708.0
2021-05-12 18:19:00,238.4707,238.4907,238.4508,238.4508,2273.0
2021-05-12 18:17:00,238.7301,238.7301,238.7301,238.7301,107.0
2021-05-12 18:16:00,238.5505,238.7201,238.5505,238.7201,982.0
2021-05-12 18:14:00,238.5505,238.5505,238.5505,238.5505,591.0
2021-05-12 18:13:00,238.4508,238.4508,238.4508,238.4508,479.0
2021-05-12 18:12:00,238.4508,238.4607,238.4508,238.4508,698.0
2021-05-12 18:11:00,238.4508,238.4508,238.4508,238.4508,267.0
2021-05-12 18:10:00,238.4508,238.4508,238.4508,238.4508,249.0
2021-05-12 18:05:00,238.341,238.351,238.341,238.351,925.0
2021-05-12 18:03:00,238.341,238.341,238.341,238.341,1090.0
2021-05-12 18:02:00,238.2512,238.3409,238.2512,238.3409,453.0
2021-05-12 17:59:00,238.2512,238.2512,238.2512,238.2512,181.0
2021-05-12 17:58:00,238.2512,238.2512,238.2512,238.2512,382.0
2021-05-12 17:57:00,238.2512,238.2512,238.2512,238.2512,314.0
2021-05-12 17:54:00,238.0018,238.0018,238.0018,238.0018,2043.0
2021-05-12 17:51:00,238.2512,238.2512,238.2511,238.2512,395.0
